rank_test_score,param_model__optimizer,param_model__learning_rate,mean_test_score
1,Adam,0.001,0.9438596491228071
2,Adam,0.01,0.9315789473684211
3,SGD,0.01,0.9263157894736842
4,RMSprop,0.001,0.9105263157894736
5,RMSprop,0.0001,0.9017543859649123
6,Adam,0.0001,0.8964912280701754
7,RMSprop,0.01,0.887719298245614
8,SGD,0.001,0.8649122807017544
9,SGD,0.0001,0.6894736842105263
